O,D,weight
2301000,2301109,37379.0
2301000,2301208,7848.0
2301000,2301257,6224.0
2301000,2301307,6543.0
2301000,2301406,3814.0
2301000,2301505,3868.0
2301000,2301604,7688.0
2301000,2301703,6723.0
2301000,2301802,2740.0
2301000,2301851,5128.0
2301000,2301901,12674.0
2301000,2301950,14821.0
2301000,2302008,8977.0
2301000,2302057,6440.0
2301000,2302107,18014.0
2301000,2302206,28428.0
2301000,2302305,14645.0
2301000,2302404,14249.0
2301000,2302503,12733.0
2301000,2302602,31164.0
2301000,2302701,13400.0
2301000,2302800,30392.0
2301000,2302909,7059.0
2301000,2303006,5961.0
2301000,2303105,8457.0
2301000,2303204,5903.0
2301000,2303303,7101.0
2301000,2303402,10020.0
2301000,2303501,33042.0
2301000,2303600,6777.0
2301000,2303659,7175.0
2301000,2303709,80049.0
2301000,2303808,7790.0
2301000,2303907,7292.0
2301000,2303931,1784.0
2301000,2303956,12383.0
2301000,2304004,7886.0
2301000,2304103,31944.0
2301000,2304202,19493.0
2301000,2304236,8553.0
2301000,2304251,17606.0
2301000,2304269,4356.0
2301000,2304277,4655.0
2301000,2304285,58629.0
2301000,2304301,4067.0
2301000,2304350,9695.0
2301000,2304400,280685.0
2301000,2304459,10874.0
2301000,2304509,10936.0
2301000,2304608,5289.0
2301000,2304657,7651.0
2301000,2304707,16940.0
2301000,2304806,576.0
2301000,2304905,8933.0
2301000,2304954,9247.0
2301000,2305001,19808.0
2301000,2305100,6583.0
2301000,2305209,9690.0
2301000,2305233,43490.0
2301000,2305266,2998.0
2301000,2305308,9778.0
2301000,2305332,7028.0
2301000,2305357,14826.0
2301000,2305407,21528.0
2301000,2305506,37237.0
2301000,2305605,12326.0
2301000,2305654,7431.0
2301000,2305704,5152.0
2301000,2305803,17978.0
2301000,2305902,15073.0
2301000,2306009,8268.0
2301000,2306108,10616.0
2301000,2306207,5154.0
2301000,2306256,23644.0
2301000,2306306,19610.0
2301000,2306405,30501.0
2301000,2306504,5289.0
2301000,2306553,22166.0
2301000,2306603,9795.0
2301000,2306702,4993.0
2301000,2306801,6342.0
2301000,2306900,21205.0
2301000,2307007,13015.0
2301000,2307106,6386.0
2301000,2307205,2219.0
2301000,2307254,17703.0
2301000,2307304,46844.0
2301000,2307403,12233.0
2301000,2307502,9249.0
2301000,2307601,29780.0
2301000,2307635,8671.0
2301000,2307650,78129.0
2301000,2307700,40319.0
2301000,2307809,17080.0
2301000,2307908,6984.0
2301000,2308005,10771.0
2301000,2308104,12187.0
2301000,2308203,7295.0
2301000,2308302,9969.0
2301000,2308351,6415.0
2301000,2308377,4359.0
2301000,2308401,6584.0
2301000,2308500,15742.0
2301000,2308609,10899.0
2301000,2308708,22094.0
2301000,2308807,3932.0
2301000,2308906,8215.0
2301000,2309003,8106.0
2301000,2309102,4504.0
2301000,2309201,5718.0
2301000,2309300,17876.0
2301000,2309409,11071.0
2301000,2309458,11572.0
2301000,2309508,8087.0
2301000,2309607,35016.0
2301000,2309706,23669.0
2301000,2309805,6694.0
2301000,2309904,5214.0
2301000,2310001,4846.0
2301000,2310100,5327.0
2301000,2310209,19343.0
2301000,2310258,21325.0
2301000,2310308,10856.0
2301000,2310407,4432.0
2301000,2310506,12120.0
2301000,2310605,5726.0
2301000,2310704,22870.0
2301000,2310803,10175.0
2301000,2310852,12784.0
2301000,2310902,7917.0
2301000,2310951,5471.0
2301000,2311009,6148.0
2301000,2311108,4852.0
2301000,2311207,5429.0
2301000,2311231,5182.0
2301000,2311264,6976.0
2301000,2311306,31353.0
2301000,2311355,6042.0
2301000,2311405,27711.0
2301000,2311504,9014.0
2301000,2311603,16698.0
2301000,2311702,10078.0
2301000,2311801,31793.0
2301000,2311900,6922.0
2301000,2311959,4480.0
2301000,2312007,9417.0
2301000,2312106,2876.0
2301000,2312205,21822.0
2301000,2312304,14269.0
2301000,2312403,22301.0
2301000,2312502,5858.0
2301000,2312601,8063.0
2301000,2312700,10430.0
2301000,2312809,2873.0
2301000,2312908,51997.0
2301000,2313005,4950.0
2301000,2313104,16294.0
2301000,2313203,14764.0
2301000,2313252,4724.0
2301000,2313302,18910.0
2301000,2313351,5753.0
2301000,2313401,24293.0
2301000,2313500,20564.0
2301000,2313559,5421.0
2301000,2313609,10753.0
2301000,2313708,2378.0
2301000,2313757,6640.0
2301000,2313807,10814.0
2301000,2313906,4082.0
2301000,2313955,15309.0
2301000,2314003,12698.0
2301000,2314102,16610.0
2301109,2300101,28.0
2301109,2300150,8.0
2301109,2300200,1020.0
2301109,2300309,99.0
